"ID","Deleted","AttribKey","ReflectionKey","AssetID","SpeechID","LiveCode","Unlocked","Online","NewUnlocked","TeamId","TeamRef","RosterPosition","FirstName","LastName","ScaledHeight","JerseyNum","BirthDay","BirthMonth","BirthYear","Rating_Overall","Rating_Block","Rating_Clutch","Rating_Dribble","Rating_Dunk","Rating_Pass","Rating_Speed","Rating_Steal","Rating_Strength","Rating_2PT_Shooting","Rating_3PT_Shooting","IsCreated","Handedness","HotSpot_Id","Shot_Package","Dunk_Package","Loco_Package","Challenge_Base","Challenge_Aggression","Challenge_Block","Challenge_Defensive_Lag","Challenge_Shove","Challenge_Spin","Tendency_Anklebreaker","Tendency_Steal","Tendency_Fadeaway","Tendency_Perimeter"
258,0,"al_horford","al_horford_r",258,258,0,1,1,0,0,"Atlanta",1,"Al","Horford","1.024",15,29,6,1981,1,7,6,4,7,4,5,4,7,7,2,0,"r",17,"package_shot_generic","package_dunk_basic","package_loco_swingman",-1,-1,-1,-1,-1,-1,0,0,0,0
3,0,"dominique_wilkins","dominique_wilkins_r",3,3,0,0,0,0,0,"Atlanta",3,"Dominique","Wilkins","1.03",21,1,1,1950,0,6,7,6,10,4,6,6,8,7,6,0,"r",17,"package_shot_generic","package_dunk_highskill","package_loco_swingman",-1,-1,-1,-1,-1,-1,0,0,0,0
4,0,"spud_webb","spud_webb_r",4,4,0,0,0,0,0,"Atlanta",4,"Spud","Webb","0.88",4,1,1,1950,0,2,6,7,8,8,9,7,3,7,7,0,"r",4,"package_shot_generic","package_dunk_highskill","package_loco_smallman",-1,-1,-1,-1,-1,-1,0,0,0,0
283,0,"paul_millsap","paul_millsap_r",283,283,0,1,1,0,0,"Atlanta",2,"Paul","Millsap","1.024",4,29,6,1981,8,8,8,8,7,8,8,8,8,7,8,0,"r",17,"package_shot_generic","package_dunk_basic","package_loco_swingman",-1,-1,-1,-1,-1,-1,0,0,0,0
10,0,"gerald_wallace","gerald_wallace_r",10,10,0,1,1,0,1,"Boston",1,"Gerald","Wallace","1.01",45,23,7,1982,8,7,6,6,9,7,7,9,6,6,5,0,"r",9,"package_shot_generic","package_dunk_highskill","package_loco_swingman",-1,-1,-1,-1,-1,-1,0,0,0,0
262,0,"avery_bradley","avery_bradley_r",262,262,0,1,1,0,1,"Boston",2,"Avery","Bradley","0.9775",0,26,11,1990,8,3,6,8,7,8,8,9,7,8,7,0,"r",9,"package_shot_generic","package_dunk_basic","package_loco_swingman",-1,-1,-1,-1,-1,-1,0,0,0,0
158,0,"rajon_rondo","rajon_rondo_r",158,135,0,1,1,0,1,"Boston",3,"Rajon","Rondo","0.94",9,23,8,1978,1,3,7,9,3,9,9,10,4,7,4,0,"r",17,"package_shot_generic","package_dunk_basic","package_loco_swingman",-1,-1,-1,-1,-1,-1,0,0,0,0
89,0,"jeff_green","jeff_green_r",89,89,0,1,1,0,1,"Boston",4,"Jeff","Green","1.0477",8,28,8,1986,1,6,5,6,7,6,6,5,6,7,6,0,"r",14,"package_shot_generic","package_dunk_basic","package_loco_swingman",-1,-1,-1,-1,-1,-1,0,0,0,0
8,0,"larry_bird","larry_bird_r",8,8,0,0,0,0,1,"Boston",5,"Larry","Bird","1.03",33,1,1,1950,0,6,10,5,6,8,6,8,7,9,10,0,"r",7,"package_shot_sigbird","package_dunk_basic","package_loco_swingman",-1,-1,-1,-1,-1,-1,0,0,0,0
9,0,"kevin_mchale","kevin_mchale_r",9,9,0,0,0,0,1,"Boston",6,"Kevin","McHale","1.03",32,1,1,1950,0,8,7,5,7,4,5,2,9,8,3,0,"r",15,"package_shot_generic","package_dunk_bigman","package_loco_bigman",-1,-1,-1,-1,-1,-1,0,0,0,0
177,0,"evan_turner","evan_turner_r",177,201,0,1,1,0,1,"Boston",7,"Evan","Turner",1,12,23,8,1978,6,6,6,7,7,7,7,6,6,6,6,0,"r",14,"package_shot_generic","package_dunk_highskill","package_loco_swingman",-1,-1,-1,-1,-1,-1,0,0,0,0
233,0,"michael_kidd_gilchrist","michael_kidd_gilchrist_r",233,233,0,1,1,0,2,"Charlotte",1,"Michael","Kiddgilchrist","1.0243",14,26,9,1993,1,4,5,6,8,5,7,6,5,5,3,0,"r",17,"package_shot_generic","package_dunk_basic","package_loco_swingman",-1,-1,-1,-1,-1,-1,0,0,0,0
240,0,"kemba_walker","kemba_walker_r",240,240,0,1,1,0,2,"Charlotte",2,"Kemba","Walker","0.9541",15,8,5,1990,3,1,7,9,5,5,8,5,5,7,8,0,"r",7,"package_shot_generic","package_dunk_basic","package_loco_smallman",-1,-1,-1,-1,-1,-1,0,0,0,0
264,0,"al_jefferson","al_jefferson_r",264,264,0,1,1,0,2,"Charlotte",3,"Al","Jefferson","1.059",25,4,1,1985,2,8,6,3,7,4,3,2,8,7,1,0,"r",17,"package_shot_generic","package_dunk_bigman","package_loco_bigman",-1,-1,-1,-1,-1,-1,0,0,0,0
284,0,"lance_stephenson","lance_stephenson_r",284,284,0,1,1,0,2,"Charlotte",4,"Lance","Stephenson","1.024",1,29,6,1981,9,4,8,9,7,8,8,8,7,8,8,0,"r",17,"package_shot_generic","package_dunk_basic","package_loco_swingman",-1,-1,-1,-1,-1,-1,0,0,0,0
82,0,"larry_johnson","larry_johnson_r",82,82,0,0,0,0,2,"Charlotte",5,"Larry","Johnson","1.03",2,1,1,1950,0,2,6,5,7,6,5,4,7,7,7,0,"r",16,"package_shot_generic","package_dunk_highskill","package_loco_bigman",-1,-1,-1,-1,-1,-1,0,0,0,0
15,0,"joakim_noah","joakim_noah_r",15,15,0,1,1,0,3,"Chicago",1,"Joakim","Noah","1.05",13,1,1,1950,7,8,5,3,7,2,4,4,6,7,1,0,"r",16,"package_shot_signoah","package_dunk_bigman","package_loco_swingman",-1,-1,-1,-1,-1,-1,0,0,0,0
13,0,"derrick_rose","derrick_rose_r",13,13,0,1,1,0,3,"Chicago",2,"Derrick","Rose","0.95",1,4,10,1988,10,4,7,8,5,9,8,8,4,6,5,0,"r",16,"package_shot_generic","package_dunk_basic","package_loco_smallman",-1,-1,-1,-1,-1,-1,0,0,0,0
17,0,"dennis_rodman","dennis_rodman_r",17,17,0,0,0,0,3,"Chicago",3,"Dennis","Rodman","1.03",91,1,1,1950,0,7,5,4,7,1,7,6,9,7,1,0,"r",12,"package_shot_generic","package_dunk_bigman","package_loco_bigman",-1,-1,-1,-1,-1,-1,0,0,0,0
54,0,"pau_gasol","pau_gasol_r",54,54,0,1,1,0,3,"Chicago",4,"Pau","Gasol","1.06",16,6,7,1980,9,8,7,6,7,8,4,5,6,8,1,0,"r",17,"package_shot_sigpau","package_dunk_bigman","package_loco_bigman",-1,-1,-1,-1,-1,-1,0,0,0,0
111,0,"anderson_varejao","anderson_varejao_r",111,191,0,1,1,0,4,"Cleveland",1,"Anderson","Varejao","1.04",17,1,1,1950,7,6,9,5,6,5,6,4,6,7,1,0,"r",17,"package_shot_generic","package_dunk_bigman","package_loco_bigman",-1,-1,-1,-1,-1,-1,0,0,0,0
241,0,"kyrie_irving","kyrie_irving_r",241,241,0,1,1,0,4,"Cleveland",2,"Kyrie","Irving","0.9658",2,23,3,1992,2,2,8,8,3,8,8,7,4,8,9,0,"r",8,"package_shot_generic","package_dunk_basic","package_loco_smallman",-1,-1,-1,-1,-1,-1,0,0,0,0
22,0,"brad_daugherty","brad_daugherty_r",22,22,0,0,0,0,4,"Cleveland",3,"Brad","Daugherty","1.05",43,1,1,1950,0,5,6,3,8,7,5,5,8,8,1,0,"r",15,"package_shot_generic","package_dunk_bigman","package_loco_bigman",-1,-1,-1,-1,-1,-1,0,0,0,0
21,0,"mark_price","mark_price_r",21,21,0,0,0,0,4,"Cleveland",4,"Mark","Price","0.94",25,1,1,1950,0,2,7,8,1,9,8,6,2,9,9,0,"r",4,"package_shot_generic","package_layup_generic","package_loco_smallman",-1,-1,-1,-1,-1,-1,0,0,0,0
18,0,"lebron_james","lebron_james_r",18,18,0,1,1,0,4,"Cleveland",5,"Lebron","James","1.02",23,30,12,1984,10,6,8,7,10,8,7,7,8,9,9,0,"r",3,"package_shot_siglebron","package_dunk_highskill","package_loco_swingman",-1,-1,-1,-1,-1,-1,0,0,0,0
71,0,"kevin_love","kevin_love_r",71,71,0,1,1,0,4,"Cleveland",6,"Kevin","Love","1.03",0,7,9,1988,8,7,6,4,8,6,4,5,9,7,6,0,"r",16,"package_shot_generic","package_dunk_bigman","package_loco_bigman",-1,-1,-1,-1,-1,-1,0,0,0,0
23,0,"dirk_nowitzki","dirk_nowitzki_r",23,23,0,1,1,0,5,"Dallas",1,"Dirk","Nowitzki","1.06",41,19,6,1978,9,7,8,7,7,7,6,6,7,8,7,0,"r",5,"package_shot_signowitzki","package_dunk_bigman","package_loco_bigman",-1,-1,-1,-1,-1,-1,0,0,0,0
34,0,"monta_ellis","monta_ellis_r",34,34,0,1,1,0,5,"Dallas",2,"Monta","Ellis","0.94",11,1,1,1950,9,2,7,9,6,6,9,8,4,8,6,0,"r",16,"package_shot_generic","package_dunk_basic","package_loco_smallman",-1,-1,-1,-1,-1,-1,0,0,0,0
74,0,"devin_harris","devin_harris_r",74,74,0,1,1,0,5,"Dallas",3,"Devin","Harris","0.97",20,27,2,1983,10,4,8,8,4,8,9,9,4,7,6,0,"r",15,"package_shot_generic","package_dunk_basic","package_loco_smallman",-1,-1,-1,-1,-1,-1,0,0,0,0
251,0,"jameer_nelson","jameer_nelson_r",251,251,0,1,1,0,5,"Dallas",4,"Jameer","Nelson","1.0243",14,29,6,1981,2,2,5,7,2,6,7,6,5,8,7,0,"r",8,"package_shot_generic","package_layup_generic","package_loco_swingman",-1,-1,-1,-1,-1,-1,0,0,0,0
11,0,"raymond_felton","raymond_felton_r",11,11,0,1,1,0,5,"Dallas",5,"Raymond","Felton","0.95",2,26,6,1984,9,3,5,8,1,8,8,8,5,6,6,0,"r",7,"package_shot_generic","package_layup_generic","package_loco_smallman",-1,-1,-1,-1,-1,-1,0,0,0,0
156,0,"danilo_gallinari","danilo_gallinari_r",156,133,0,1,1,0,6,"Denver",1,"Danilo","Gallinari","1.02",8,23,8,1978,10,6,4,3,5,3,5,8,7,6,8,0,"r",3,"package_shot_generic","package_dunk_bigman","package_loco_bigman",-1,-1,-1,-1,-1,-1,0,0,0,0
